Name,Latitude,Longitude
1st,48.86,2.341111
2nd,48.869167,2.340556
3rd,48.863819,2.361658
4th,48.855556,2.355556
5th,48.847222,2.344444
6th,48.850556,2.332222
7th,48.859167,2.312778
8th,48.874167,2.311111
9th,48.878333,2.336944
10th,48.875556,2.357778
11th,48.858611,2.379444
12th,48.840833,2.388056
13th,48.832222,2.355556
14th,48.833056,2.326944
15th,48.841389,2.300278
16th,48.863611,2.276389
17th,48.882222,2.307778
18th,48.892222,2.344444
19th,48.882222,2.381944
20th,48.865,2.399167
